joke
แดดร้อนที่แยงตา ไม่เท่าเธอยิ้มมาแล้วแยงใจ
 ตั้งแต่พี่เกิดมา มีเธอนี่แหละที่เป็นที่รักยิ่งดั่งดวงใจ
 ถ้าเธอรู้สึกว่าช่วงนี้น้ำหนักขึ้นก็ไม่ต้องตกใจนะ…เพราะว่าชั้นเอาใจไปฝากไว้ที่เธอเองแหละ
 จะไปตลาดซื้อขนม แต่ต้องไปซื้อยาดม เพราะเป็นลมคิดถึงเธอออออออออ
 มองดีๆน่ะน้อง ระวังใจพี่จะไปวิ่งในใจเธอ
 น้องทำหัวใจพี่เป็นรูหมดแล้ว รูเยิฟ ก็เลิฟยูไง
 คุณเห็นอะไรตกอยู่แถวนี้หรือเปล่าครับ ผมทำใจตกไว้นะครับ
 ถึงพี่จะมีแต่ทุ่งนาที่จะให้น้องทำแต่พี่ก้อจะไม่ให้น้องเป็นนกแก้วหรอก
 อยากบอกว่ารักทุกวันเลย แต่แค่มองตาคิดว่าคุณคงรู้
 เธอเปรียบเหมือนกาแฟเบอร์ดี้ไม่ใช่ที่สีผิวหรอกนะ แต่เธอคือ 1 ในใจ
 เขาต้องหาเราไม่เจอแน่แน่เลย เพราะเราแอบรักเธอ
รุ้เปล่าว่าเรารักเธอแค่ไหน เธอลองไปนั่งนับเม็ดทรายดูซิ
 ผมเห็นคุณโหนรถเมล์มานานไม่ได้นั่งซะที มานั่งในหัวใจผมดิฮะ ยังว่าง
 รูปไม่หล่อ พ่อไม่รวย สวยไม่แล แต่ที่แน่ๆ แพ้หัวใจเธอ เพ้อทุกวัน ฝันถึงเธอ ละเมอทุกคืน
คิดถึงคุณจัง ไม่รู้ต้องทำยังไง ส่งรูปให้ผมผ่านไลน์ มาให้หายคิดถึงที
จะหน้าร้อนหรือหน้าไหน ก็ไม่ดีต่อใจเท่าหน้าเธอ
ตอนแรกนึกว่าเมืองไทยมีแต่หน้าร้อน พอเห็นเธอเพิ่งรู้ว่ามีน่ารัก แต่ถ้าร้อนมากนัก มาเป็นที่รักก็ได้นะครับ
มีนาอ่ะหน้าร้อน แต่ถ้ามีเธออ้อนอ่ะน่ารัก
อากาศร้อน ๆ คนเค้าไปห้างเดินตากแอร์ แต่เราได้แฟนแบบเธอ ต้องไปเดินที่ไหนกัน
แดดแรงอะหน้าดำ แต่ถ้าเจอหน้าเธอจัง ๆ อะหน้าแดง
หน้าร้อนต้องยกให้ไทย แต่น่าคุยกว่าใครต้องยกให้คุณ
แดดร้อนแล้วดูแลตัวเองด้วยนะ ทั้งเป็นห่วงและอยากเป็นแฟน
หน้าร้อนให้ไปทะเล แต่ถ้าอยากมีรักที่ไม่โลเลให้เซมาหาเรา
ถ้าเธอไม่ชอบหน้าร้อน เปลี่ยนมาชอบหน้าเราแทนได้นะ
สงกรานต์นี้ขอขันเดียว… ขันให้เธอชอบฉอ
เรื่องความร้อนยกให้ไทย แต่ถ้าความจริงใจยกให้เรา
อากาศข้างนอกมันอบอ้าว มาอยู่ในใจเราป่าวอบอุ่นนะ
หน้าร้อนอะ ซัมเมอร์ แต่น่ารักเวอร์อะ ซัมวันไลค์ยู
ไม่ต้องไปหรอกบางแสน มาควงแขนกับพี่ดีกว่า
อากาศร้อนแบบนี้ รับหวานเย็น หรือหวานใจดีจ๊ะ
หน้าร้อนไม่อยากรู้จัก น่ารักจังครับขอรู้จักได้รึเปล่า
โดนแดดเธอจะร้อน ถ้าโดนเราอ้อนเธอจะรัก
สงกรานต์เปลี่ยนจากปะแป้ง มาเป็นหอมแก้มแทนได้นะ
ตัวดำเพราะแสงยูวี แต่ที่ตัวสั่นนี่เพราะยูเลย
ฝนตกผมไม่แห้งเลย เพราะในใจไม่มี “ผู้ไดร์”
อากาศร้อน นอนข้าง ๆ พี่ จะเย็นดีไหมคะ
หน้าร้อนอยู่ไหนก็ร้อน งั้นมาอยู่ในใจเราสิ
อากาศมันร้อน เธออย่ามาอ้อนเดี๋ยวใจละลาย
เมษาผ่านไป ก็ยังไม่เมใครผ่านมา
เบื่อแล้วอากาศร้อน อยากมีคนให้อ้อนต้องทำไง
เจอแดดแล้วละลาย เจอผู้ชายแล้วร่าเริง
ร้อนอะไรเบอร์นี้ 091-000
ร้อนขนาดนี้ มาเป็น fan ให้ทีได้ป่ะ
อย่าจ้องเราแรงสิแดด เราเขินจนเหงื่อแตกหมดแล้ว
อากาศก็ร้อน คนอ้อนก็ไม่มี
เบื่อแล้วหน้าร้อน ตอนนี้ want แต่หน้าเธอ
หน้าร้อนเลยมีเหงื่อ แต่ก็ไม่น่าเบื่อถ้ามีเธอ
อากาศมันร้อน ขออ้อนได้มั้ยนะ
ประเทศไทยไม่ได้มีแค่หน้าร้อน น่ารักแบบเราก็มีนะรู้ยัง
บ้านหนูมันร้อน ขอไปนอนบ้านพี่ได้มั้ย
หน้าร้อนตามหาแอร์ น่ารักแบบแก หาได้ที่ไหน?
อยู่ไทยจะมีแต่ความร้อน แต่อยู่กับน้อนจะมีแต่ความรัก
สงกรานต์นี้เล่นน้ำคงเหงาน่าดูเพื่อนก็ไม่อยู่ คนเดินคู่ก็ไม่มี
เจอแต่ความร้อน เมื่อไหร่จะเจอความรัก
ถูกตัดน้ำตัดไฟไม่หวั่น ขอเธออย่าตัดใจจากฉันก็พอ
อยากให้เธอเป็นคนใจแคบ จะได้มีฉันคนเดียวในใจเธอ
คิดถึงๆ คิดซึ้งๆ คิดหวาานๆ คิดช้าๆ คิดนานๆคิดแผนการ ลวนลามเธอ
แฟนไว้บนหิ้ง กิ๊กไว้ในตู้ ชู้ไว้บนเตียง รักแฟน หวงชู้ เอ็นดูกิ๊ก
รักของเราอาจไม่หวาน แต่คุณไม่ต้องหารกับใครนะ
ถ้าเธอยังไม่เข้านอน ลองเข้ามาในใจเราก่อนได้นะ
อยากให้เธอกินคลีนจัง เธอจะได้ลดของมัน แล้วมาเป็นของเรา
หลงตัวเองนิดหน่อย แต่ที่หลงบ่อยๆ ก็เธอนั่นแหละ
ชอบตื่นเช้าอ่ะ เพราะไม่อยากรักเธอในวันที่สายเกินไป
ถ้าเธอยังไม่นอน แชทเรายังออนนะ ฝากไว้ให้ทักกก
ไม่ไหวอย่าฝืน ไม่มีที่ยืน ก็มานั่งในใจเรานี่
เราทำกับข้าวให้กินได้นะ ถึงกับข้างจะไม่อร่อย แต่คนทำอร่อยน่าจะแทนกันได้
ไม่ขอสิทธิ์คนละครึ่ง แต่ขอมีสิทธิ์คิดถึงได้มั้ย
ใส่แมสก์คือหน้าที่ของคุณ ส่วนใส่ใจคุณคือหน้าที่ของเรา
เธอคนเดียวที่กินใจ แม้ใครๆ จะกินคลีน
ถึงเราไม่ใช่ แรคคูน แต่เรา รักคุณ นะ
อยู่หน้าจอทั้งวัน มันไม่ดีหรอก มาอยู่ในใจเราดิ ดีกว่าเยอะ
มะเร็งกับโควิดไม่รู้ปอดเลือกอะไร แต่หัวใจอ่ะเลือกเธอ
ไม่ถูกหวยไม่เป็นไร แค่ถูกใจเธอก็พอ
ไม่ต้องเก่งเคมีมากมาย ก็รู้ว่าเธอคือตัวทำละลายใจเรา
หวานกว่าไอติม ก็รอยยิ้มที่เธอส่งมานี่ล่ะ
ขาดกาแฟเหมือนขาดใจ แต่ถึงยังไงก็ไม่อยากขาดเธอ
ตรวจที่หัวไม่เจอไข้ แต่ถ้าตรวจที่ใจอาจเจอคุณนะ
ก้าวแรกไม่เป็นไร แต่ถ้าก้าวมาในใจ ไม่ให้ออกแล้วนะ
จ้องคอมแล้วตาเบลอ แล้วถ้าจ้องเธอจะได้เบอร์มั้ยนะ
กินหมูกระทะจะเจอเนื้อย่าง แต่ถ้าเธอมานั่งข้างๆ เราจะเจอเนื้อคู่
ต้องใส่หน้ากากอะไร ถึงจะป้องกันหัวใจไม่ให้ติดเธอถ้า เธอ ไม่ มีใจ ไม่เป็นไร เรา มีเงิน
มีดที่ว่าคม ยังแค่บาดนิ้ว แต่เธอ so cute มันช่างบาดใจ
อนาคตของชาติ ไม่รู้อยู่ที่ใคร แต่อนาคตของใจอยู่ที่เธอแน่นอน
เลิกเป็นเถอะคนเหงา เปลี่ยนมาเป็นคนของเราดีกว่าเนอะ
ขอลักคุณได้ไหม ในฐานะมิจฉาชีพก็ได้
อยากเป็นเบอร์ดี้จัง จะได้เป็นหนึ่งในใจคุณ
เฮ้อ เรามีแต่พาสเวิร์ดเข้าสู่อินเตอร์เน็ต แต่ไม่มีแอคเซสเข้าสู่หัวใจเธอเลย
ถ้าฉันมีปืน 2 อัน ฉันจะแบ่งให้เธอหนึ่งอัน เราจะได้มี กัน และ กัน ไง
ความหล่อแค่ทำให้เราเพ้อ แต่ความเป็นเธออ่ะทำให้เรารัก
มุกเสี่ยวคิดไม่ทัน คิดถึงเธอก่อนแล้วกัน มันง่ายดี
โสดหรอได้ข่าว เป็นแฟนกับเราป่าว ข่าวจะได้เปลี่ยน
มีแผนที่ไหม หลงใจไปชอบเธอ หาทางออกไม่ได้เลย
ไม่ใช่แม่นาค แต่ทำไมคิดถึงมากก็ไม่รู้
ที่บ้านเธอมีแก้วกี่ใบ เราจะได้เทใจให้หมดเลย
เราไม่ชอบเรียนคณิต แต่ทำไมชอบคิดถึง คูณ ก็ไม่รู้
ไม่รู้ว่าฝนตกที่บ้านใคร แต่หัวใจอ่ะตกที่บ้านเธอ
มิสเทคแปลว่าผิดพลาด แต่ถ้ามิสยูมากๆ จะผิดมั้ย
ทำงานยังมีวันหยุด แต่รักเธอที่สุดไม่มีวันหยุดเลยเว้ยแกร
สตรีทฟู้ดคือกินข้าวข้างทาง แต่ถ้าเธอว่าง เราอยากกินข้าวข้างเธอ
บางคนอาจหมดความชอบธรรม แต่ใจเรานั้นไม่หมดความชอบเธอ
เธอไม่ใช่น่าน เธอไม่ใช่เชียงใหม่ แต่เธอใช่เลย
กฏหมายห้ามลักทรัพย์ แล้วกฏข้อไหมครับที่ห้ามรักคุณ
วันหยุดมีไม่กี่วัน งั้นหยุดที่เธอละกัน จะได้มีกันตลอดไป
กีตาร์ไม่มีเสียงถ้าไม่มีสาย ชีวิตไม่มีความหมายถ้าไม่มีเธอ
เธอก็เหมือนยาดม ไม่เน้นชื่นชม แต่เน้นชื่มใจ
อยากเป็นแว่นให้เธอใส่ ถึงไม่ได้อยู่ในใจ แต่อยู่ในสายตา
มีแผนที่ไว้กันหลงทาง แล้วมีอะไรบ้างไว้กันหลงเธอ
อ่านหนังสือไปตั้งหลายหน้า อยากจะบ้า ดันจำได้แค่หน้าเธอ
ข้อสอบจะมีโจทย์ แต่ถ้าเธอโสดจะมีจีบ
ส่องกระจกจะเจอเงา แต่ถ้าคนใจเราจะเจอเธอ
เป็ดเรียกว่า Duck ที่รักเรียกว่า You
พระอาทิตย์คือ Sun แต่คนสำคัญของฉันคือเธอ
ถ้าหิวให้โทรสั่งพิซซ่า แต่ถ้าเหงาขึ้นมา ให้โทรหาเราเลยนะ
นี่หน้าหนาวหรือหน้าร้อนก็ไม่รู้ รู้แต่ว่าเธอน่ารัก
เลิกฮั่นแน่กันซะที แล้วมาเป็นฮันนี่กันดีกว่า
โควิดมันน่ากลัว อยากไปกักตัวที่ห้องเธอจัง
เมืองจีนที่ว่าใหญ่ ยังไม่เท่าใจที่มีให้เธอ
ค้อนมีไว้ทุบ แต่รักนะจุ๊บๆ มีไว้ให้เธอ
ที่ชอบใส่เสื้อฟิต เพราะอยากให้รู้ว่าผมชอบคับ
อยากให้เธอกินคลีนจัง เธอจะได้ลดของมันแล้วมาเป็นของเรา
ปีใหม่นี้ขอให้เธอเจอแต่สิ่งดีๆ สรุปเธอเจอเรา
ว่าพี่เจ้าชู้ น้องเคยเป็นชู้พี่ยัง
หน้าตาอาจจะดูกวนใจ แต่ได้อยู่ใกล้แล้วกวน-ีนนะ
หยุดที่ใครไม่ได้หรอก ไม่มีเบรคมีแต่คันเร่ง
หลงตัวเองนิดหน่อย ที่หลงบ่อยก็แฟนชาวบ้าน
ใกล้เกลือกินด่าง ใกล้อะไรบ้างถึงจะได้กินเธอ
โตแล้วก็ควรจริงจังกับอะไรสักอย่างได้แล้วนะ เช่นมาจริงจังกับเรานี่
ไม่ชอบกันไม่เป็นไร รับงานไหมอยากได้เธอจริงๆ
เป็นไอ้ดื้อของใครไม่ได้หรอก เป็นได้แต่ไอ้อ้วน
ถ้ายิ้มให้แล้วใจเธอยังไม่ละลาย เราคงต้องเปิดขวดน้ำมันพรายแล้วแหละ
ขนมปังคือฟาร์มเฮาส์ แต่สำหรับเรา เธอคือฟามรัก
อยู่กับเขา อย่าลืมลบแชตเรานะ
ไม่ถูกหวยไม่เป็นไร แค่ถูกใจเธอก็พอ
คิ้วชนกันเขาว่าเจ้าชู้ แต่ Cute แบบยู เนื้อคู่ชัดๆ
ที่ขอบตาดำเพราะนอนดึก ที่หัวใจเต้นตึกๆ เพราะรักเธอ
เราเลิกเชื่อ Google ตั้งแต่ค้นหาคำว่า ‘น่ารัก’ แล้วไม่เจอรูปเทอ
อยากให้เธอเรียกไอ่ต้าว ทั้งที่หน้าเหมือนต่างด้าวก็เหอะ
ไม่ถนัดรักษาหุ่น แต่ถนัดรักษา คุณ มากกว่า
อยากเข้าไปอยู่ในใจเธอ แต่ไปไม่ได้ เขาห้ามไปที่มีคนเยอะๆ
ขอเป็นเป็ดได้มั้ย จะได้ไม่หมดโปร
ผักเดียวที่ชอบ คือผักเธอลงเตียง แล้วไปปิดไฟ
ระหว่างแชมพูกับเรา อะไรเข้าตาเธอมากกว่ากัน
แค่เธอบอกว่ารัก ฉันก็พร้อมจะควักตังค์ให้แล้ว
หยุดที่เราได้มั้ย ในฐานะไฟแดงก็ได้
ขอจับมือเธอได้ไหม ในฐานะหมอดูก็ได้
คุณไม่ใช่กรุงเทพ ไม่ใช่น่าน แต่คุณใช่เลย
ปล่อยให้เราเหงาบ่อยๆ เดี๋ยวมีคนแซ่บๆ มาอ่อยเราไปนะ
ปกติเป็นคนไม่แพ้อะไร แต่แปลกจัง ทำไมต้องมาแพ้ใจคนอย่างเธอ
เฮ้อ หนักใจ เพราะมีคุณอยู่ข้างในทุกวัน
ทีแรกนึกว่าผมชอบร่วง ที่แท้ก็ผมชอบคุณนี่นา
ลองมาเดินด้วยกันไหม ถ้าไม่ใช่เดี๋ยวเดินมาส่ง
ต้องตีลังกากี่ตลบ ถึงจะได้พบคนแบบเธอ
ไม่ต้องมีหรอกลักยิ้ม แต่น้องยิ้มพี่ก็รักแล้ว
ถึงหน้าพี่ไม่อ่อนวัย แต่หัวใจพี่อ่อนโยนนะ
มิตรที่ดี คือมิสยู
ช่วงนี้รู้สึกอยากพัก พักคำว่ารูด พูดคำว่ารัก
ต้องสูงอีกกี่เซ็น เธอถึงจะเห็นเราในสายตา
ชอบเขาก็ไปหาเขา แต่ถ้าชอบเรารอคิวก่อน
ไม่แพ้หรอกฝุ่น แพ้คุณ​มากกว่า
เราก็เหมือนยาดม ไม่เน้นให้ใครชื่นชม แต่เน้นให้คนชื่นใจ
แดดแรงทำให้หน้าพัง แต่เธอน่ารักจังทำให้หน้าแดง
แม่หนูชอบเขา ไม่เอาแล้วทะเล
จีบเราไม่ต้องเปย์ ขอแค่ทุ่มเทและใส่ใจ
เป็นเด็กอ้วนมันไม่ดี เป็นเด็กดีของพี่ได้เปล่า
อยากเจอรักดีดี นาทีนี้ก็ต้องเราแล้วป่ะ
ของอร่อยมีแต่ทำให้เราอ้วน แล้วเราอ้วนคิดดูว่าจะอร่อยแค่ไหน
รีบจีบตอนนี้ ถ้าสวยกว่านี้จีบยากละนะ
เป็นคนยิ้มยาก แต่ถ้าชอบใครมากๆ จะยิ้มให้
เราเป็นคนหน้านิ่ง ไม่อยากยิ้มเดี๋ยวเธอละลาย
ไม่อยากเป็น Number One อยากเป็นแค่ Only One ของเธอก็พอ
ไม่ใช่ผู้หญิงสวย ที่อยู่ใกล้แล้วสบายตา แต่เป็นผู้หญิงที่ฮา อยู่ใกล้แล้วสบายใจ
ช่วงนี้อ่อนไหว มองหน้าใครก็ใช่ไปหมดเลย
รอเธอมาจีบ อยากถูกถีบตกคาน
มุขเสี่ยวเราไม่มี แต่ใจดีๆ อะมีแน่นอน
ข้างกายมันเหงา มาอยู่ข้างเราดีกว่ามั้ย
โสดโอนไว มีความจริงใจแถมให้ด้วย
ไม่สวยไม่ขาว แต่หน้าหนาวกอดอุ่นนะ
อยู่คนเดียวมันอิสระ แต่ลองคบเรามั้ยจ๊ะแล้วจะสนุก
มีตะปูต้องมีค้อน แต่ถ้าอยากมีคนให้อ้อน ต้องมีเค้า
ถ้าเธอไม่ชอบความเหงา งั้นหันมาชอบเราก็ได้นะ
ช่วงนี้รู้สึกว่าหนักใจ ขอเอาไปวางไว้ที่เธอได้ป่ะ
ยืนอยู่คนเดียวเพราะหลงทาง พอเธอมายืนข้างๆ เลยหลงเธอ
รถติดให้เผื่อเวลา แต่ถ้าได้เธอมาจะไม่เผื่อใจ
หวานเป็นลม เราไม่ขมนะกินได้
ไม่ต้องฟอลโล่วไอจี แต่ช่วยฟอลอินเลิฟวิทมีได้มั้ย
เราเป็นคนตรงๆ นะ ตรงนี้ยังว่าง รอคนข้างๆ มาเติมเต็ม
ไอจีไม่คุมโทน แต่อยากได้คนมาคุมใจ
ครูสอนให้รักในความรู้ แต่เธอสอนให้รู้ในความรัก
ไม่ได้เป็นคนเจ้าชู้ ดูหน้าก็รู้ว่าเป็นคนรักเดียว
ถ้าสตอรี่เธอว่าง ถ่ายรูปเราไปลงบ้างก็ได้นะ
กดรักมันเชย กดทักมาขอเป็นแฟนเลยจะดีกว่า
ถึงน้องจะไม่มีใจ ไม่เป็นไรพี่มีตังค์
ถึงตัวจะบวม แต่รวมๆ เราน่ารักนะ
แบตหมดให้เดินหาปลั๊ก แต่ถ้าขาดความรักให้เดินมาหาเรา
เป็นเเฟนเราไม่มีคบซ้อน ง่วงก็นอน เฟสไม่ออน ดูแต่ยูทูป
ที่ถ่ายรูปชอบทำหน้านิ่ง เพราะอยากเก็บรอยยิ้มไว้ให้คนที่ใช่
ถ้าเธอชอบนั่งรถไฟ เราสับรางไวเธอชอบไหม
ถ้าอยากได้คุณ ต้องทำบุญหรือต้องทำใจ
ไม่ต้องรีบรักให้เต็มร้อย แต่ขอรักทีละน้อยๆ ให้เต็มใจ
ถึงภาพจะไม่น่ารัก แต่สเตตัสเราโสดนะ
ถ้าโลกนี้มันอยู่ยาก มาอยู่บ้านเราก็ได้นะ
อย่าใจดำกับเราเลย ลำพังขอบตาดำก็พอแล้ว
อยากเป็นหน้ากาก จะได้สัมผัสปากเธอทุกวัน
หนูยิ้มขนาดนี้ ไม่สะเทือนใจพี่บ้างหรอ
ถ้าเธอไม่อยากเหงา…ก็มีเราเป็นแฟนดิ
มองท้องฟ้าแล้วใจละเมอ มองเธอแล้วใจละลาย
ขนาดแมวยังหวงก้าง แล้วเราจะหวงเธอบ้างไม่ได้เหรอ
น่ารักก็บอก ไม่ต้องแซวหรอกว่า อ้วน
เบื่อแล้วเป็นพี่น้อง อยากลองเป็นที่รักดูบ้าง
รักหรอก จึงหยอกเล่น แต่ไม่รักเล่นๆ นะบอกเลย
อากาศข้างนอกมันอบอ้าว มาอยู่ในใจเรามะ มันอบอุ่น
น้ำอัดลมทำให้เราชอบเรอ แต่น่ารักแบบเธอ ทำให้เราชอบใจ
ไม่อยากหยุดแค่วันอาทิตย์ แต่อยากหยุดทั้งชีวิตไปกับเธอ
อยากให้เธอกินคลีนจัง เธอจะได้ลดของมัน แล้วมาเป็นของเรา
ธนาคาร มีไว้ฝากตังค์ เธอมีใครหรือยัง อยากฝากใจ
เปลี่ยนจากกดติดตาม มาติดใจเราแทนได้ป่ะ
จะผอมได้ยังไง ในเมื่อในใจเราอยากกินแต่เธอ
เลิกเป็นเถอะคนเหงา มาเป็นคนดีของเราดีกว่า
ที่ถ่ายรูปไม่มองกล้อง เพราะคนที่อยากจ้อง ไม่ใช่กล้อง แต่เป็นเธอ
แฟนไม่ดีให้บอกพ่อ แฟนไม่พอให้บอกพี่
ไม่ต้องมีหรอกลักยิ้ม แค่น้องยิ้มพี่ก็รักแล้ว
ถึงจะไม่ใช่คนอบอุ่น แต่อกเราอุ่นนะจะบอกให้
อยากเจอรักดีๆ นาทีนี้ก็ต้องเราแล้วป่ะ
เธอไม่ใช่ของเล่น แต่เธอเป็นของเรา
เจอหน้าขี้เกียจทัก ขอรักเลยได้ปะ
โสดน่ะเป็นกริยา แต่อ่อยอยู่น้า เป็นการกระทำ
ถ้าชีวิตน้องยังขาดความหวาน ลองเปลี่ยนน้ำตาล เป็นพี่ไหมคะ
มองหน้าไม่ได้หาเรื่องตบ แต่หาเรื่องคบมากกว่า
เป็นแมวคงไม่ไหว เป็นหมูได้ไหม น่ารักเหมือนกัน
ไม่ได้มีเจตนาอ่อย แค่ปล่อยไปตามธรรมชาติ
รับแมงมุมไปเลี้ยงสักตัวมั้ย เผื่อจะมีเยื่อใยให้กันบ้าง
มาคุยเป็นเพื่อนหน่อย คุยบ่อยๆ เผื่อได้เป็นแฟนกัน
ยังชอบทะเลรึเปล่า หรือชอบเขาไปแล้ว
ถ้าหิวบอกนะ เดี๋ยวเราทอดสะพานให้
กาแฟยังใส่นม ถึงเราหน้าไม่คมแต่ใส่ใจนะ
ไอโฟน 13 ยังไม่มี เอาไอจีเราไปก่อนนะ
อยากเลิกเป็นตัวของตัวเอง แล้วไปเป็นของใครสักคนจัง
พริกมีแล้ว กระเทียมมีแล้ว แต่ยังไม่มีใครให้หอมเลย
จะไม่บอกรักให้รู้สึกดี แต่จะโอนเงินเข้าบัญชีให้รู้สึกรัก
รูปมีเป็นร้อย แต่หัวใจน้อยๆ มีแค่เธอ
นี่แก้มเราจะเยอะไปไหนเนี่ย ไปให้เธอหอมได้ป่ะ
เป็นทุกอย่างให้เธอแล้ว เหลืออย่างเดียว เป็นแฟนนี่แหละ
ทำเป็นมากดรักในสตอรี่ไม่กล้าทักมาอะดิ้
สาเหตุที่หนักใจ เพราะมีคุณอยู่ข้างในไงล่ะ
ไม่ไหวอย่าฝืน ไม่มีที่ยืนก็มานั่งข้างเราได้นะ
ตอนแรกนึกว่าหัวใจอยู่ข้างซ้าย ที่ไหนได้ มันอยู่ข้างเธอ
แม่เธอใช้ผงซักฟอกยี่ห้อไร ทำไมเธอน่ารักขยี้ใจขนาดนั้น
ใจไม่ค่อยอยู่กับเนื้อกับตัวเลยเนี่ย เหมือนจะอยู่กับเธอ
ใครที่บอกไม่เคยเจอรักดีๆ แนะนำให้มาเจอเราก่อน
แอดมาแล้วไม่ทัก รักไม่เกิดนะครับบอกเลย
อย่าห่วงเลยที่รัก ร้อยคนทัก ก็รักทั้งร้อยคนแหละ
ที่เราตัวหนัก เพราะเราน่ารักไม่เบาไง
แค่เธอบวชเป็นพระ เธอก็จะได้ฉัน
มะเร็งยังอยู่ได้สักพัก แต่เธอมะรักแล้วฉันจะอยู่ได้ยังไง
หน้านิ่งๆ อาจจะดูธรรมดา แต่ถ้ายิ้มขึ้นมาเราน่ารักนะ
หม่าล่า ไม่อร่อยเท่ามาหาเราหรอก
ใบไม้มี 100 ใบ แต่เราเด็ดมา 101 ใบ เพราะเรา เด็ดเกิน
ก่อนเธอจะติดโควิด อยากให้มาติดความน่ารักเราก่อน
แค่เธอทักมาว่า มายัง ฉันก็พร้อมตอบกลับไปว่า พันเต
เราเป็นของเล่นให้ใครไม่ได้หรอก แต่ถ้าให้เป็นของกินก็พอได้อยู่
แค่เธอยักคิ้ว ต้นงิ้วก็แค่ถั่วงอก
ลองมาเดินด้วยกันไหม ถ้าไม่ใช่เดี๋ยวเดินมาส่ง
ไม่ถูกหวยไม่เป็นไร ขอเป็นคนที่ถูกใจเธอแทนแล้วกัน
จะให้ผอมได้ยังไง ก็ในใจอยากกินแต่เธอ
ทีแรกนึกว่าผมชอบร่วง ที่แท้ก็ผมชอบคุณนี่นา
เฮ้อ หนักใจ เพราะมีคุณอยู่ข้างในทุกวัน
ถ้าเธอชอบคนรวย รอเราถูกหวยก่อนได้เปล่า
อิจฉาหวย ที่ได้กินเธอ
ระหว่างแชมพูกับเรา อะไรเข้าตาเธอมากกว่ากัน
ผมไม่ได้หยักศกนะ ผมหยักเปงแฟนคุณ
ชอบแบบไหนก็เลือกเอา ชอบแบบเราก็มาดิค้าบบบ
เปลี่ยนจากความรัก เป็นอสังหาริมทรัพย์ได้มั้ย
ชอบแต่คนผมยาว ไม่ชอบคนผมร่วงบ้างหรอ
อาจไม่น่ารักเหมือนตุ๊กตา แต่พร้อมชราไปกับเธอนะ
แค่เธอบอกว่ารัก ฉันก็พร้อมจะควักตังค์ให้แล้ว
หน้าตาอาจจะติดลบ แต่ถ้าลองคบ รับรองติดหนี้
ไม่ใช่สายอ่อย เพราะของอร่อยไม่ต้องพูดเยอะ
ถ้าเธอชอบคนเก่ง เรากินเก่งเธอชอบมั้ย
รักดีหามจั่ว รักชั่วก็โทรมาเลย
หยุดที่เราได้มั้ย ในฐานะไฟแดงก็ได้
ขอจับมือเธอได้ไหม ในฐานะหมอดูก็ได้
อยากให้เราสนิทกัน เหมือนกับที่จรัญสนิทวงศ์
ถ้าเธอไม่มีใจ ไม่เป็นไรเรามีเงิน
ชูรสในกับข้าว ก็ไม่นัวเท่าเราหรอกนะ
คุณไม่ใช่กรุงเทพ ไม่ใช่น่าน แต่คุณใช่เลย
ถึงตัวจะดูหนา แต่ใจพี่บางนะ
ต้นขาไม่เรียว แต่รักเดียวนะเออ
หน้าอ้วนแค่ในรูปแหละ ตัวจริงน่ากอด
ภาพถ่ายอาจจะหน้าชัดหลังเบลอ แต่ภาพของเธอในใจเรามันชัดเจน
จะมองอะไรนักหนา เธอมีปัญหาหรือว่ามีใจ
หาวเอาไว้ใช้กับง่วง หวงเอาไว้ใช้กับเธอ
ถึงเราจะไม่ได้ผอม แต่เวลาหอมแล้วหายเหนื่อย
ถ้ายังรู้จักเราไม่ดีพอ ศึกษาต่อในแชทได้นะคะ
ยอมรับว่าเป็นคนคิดมาก แต่ก็ไม่มากเท่าคิดถึงคุณ
อยากโทรถามเคอรี่ ความรักที่ส่งให้เธอนี่ กี่วันถึง
เลิกเหอะเช็คอินร้านเหล้า เปลี่ยนมาเช็คอินบ้านเราดีกว่า
ถึงขาเราไม่เรียว แต่เรามีรักเดียวนะเธอ
เหงาก็ต้องทน เพราะเป็นคน ไม่มีแฟน
ไม่มีหรอกคำบรรยาย มีแต่ไอดีไลน์จะเอามะ
จ้องคอมแล้วตาเบลอ แล้วถ้าจ้องเธอจะได้เบอร์ไหม
ไม่ใช่คนน่ารัก แต่ถ้าลองคุยไปสักพัก ระวังจะรักไม่รู้ตัว
มีไข้ให้ไปหายา แต่ถ้าอยากมีค่าให้มาหาเรา
เบื่อแล้วความร้อน เมื่อไหร่จะเจอความรักบ้างอะ
สำหรับใครที่กำลังเหงา คงไม่มีอะไรแนะนำนอกจากเรา
ถ้าเบื่อคนใส่ทอง หันมามองคนใส่ใจบ้างก็ได้นะ
ปกติเป็นคนไม่แพ้อะไร แต่แปลกจัง ทำไมต้องมาแพ้ใจคนอย่างเธอ
ไม่ได้อยากกินหญ้าอ่อน แต่ดันเกิดก่อนให้ทำไง
เป็นแค่คนในจอ คงไม่ดีพอเท่าคนไหนใจ
ถ้าไม่นับเงินในกระเป๋า เราดีกว่าเขาเเน่นอน
จุดที่หนาวที่สุด ไม่ใช่บนยอดดอย แต่เป็นจุดที่รอคอยแล้วเขาไม่มาสักที
ใจกลางเมืองมีเเต่ตึก ใจกลางความรู้สึกนั้นมีแค่คุณ
ถึงจะไม่ใช่ปีเตอร์แพน แต่ก็พาเธอไปดินแดนแห่งความรักได้นะ
